,r,id
marginal_871,0.6094210948712175,35
marginal_3577,0.5273046618125347,35
marginal_252,0.445226906561187,35
marginal_5785,0.4219107915850241,35
marginal_7429,0.41524875742867456,35
marginal_8155,0.4547709950175746,44
marginal_7429,0.4046395055825505,44
marginal_1792,0.38813875567017575,44
marginal_5275,0.35296590008324596,44
marginal_3577,0.3214794519768186,44
marginal_4998,0.40966584859066973,77
marginal_9052,0.3856441845896845,77
marginal_3527,0.3354597622900263,77
marginal_8386,0.32991600837338353,77
marginal_9956,0.3220608544121884,77
marginal_6910,0.5788245907427417,94
marginal_1791,0.5773191577680993,94
marginal_3310,0.5664040737154967,94
marginal_8890,0.539362886433075,94
marginal_8829,0.5375830387946542,94
marginal_9474,0.36969029795839536,114
marginal_7741,0.23490912474858483,114
marginal_1718,0.1337285883744684,114
marginal_4352,0.12404239965114004,114
marginal_5484,0.10895256811727375,114
marginal_8386,0.48534350834230094,187
marginal_4998,0.47665042026629256,187
marginal_9956,0.4374544250698104,187
marginal_4193,0.4209974854442134,187
marginal_5484,0.41472207319286036,187
marginal_1714,0.40069109425331073,222
marginal_7739,0.3937786377051148,222
marginal_4296,0.35218055837850626,222
marginal_370,0.2868899293383717,222
marginal_1283,0.2855474328171872,222
marginal_7287,0.5912323487494492,252
marginal_2129,0.5260879850107515,252
marginal_871,0.5174930680878395,252
marginal_3577,0.46599004609761163,252
marginal_35,0.445226906561187,252
marginal_871,0.4379524343605646,370
marginal_4373,0.4134559585858231,370
marginal_1790,0.3791273954046424,370
marginal_7739,0.361381025771972,370
marginal_1589,0.35565526223650623,370
marginal_9295,0.4261913949152796,483
marginal_3367,0.41066018497993023,483
marginal_6910,0.39933984823957114,483
marginal_7794,0.373780009531127,483
marginal_2034,0.3647104880873755,483
marginal_94,0.4955131166079928,484
marginal_3310,0.4398275312369252,484
marginal_6910,0.4251430716207192,484
marginal_1791,0.3841750031578674,484
marginal_5814,0.37523870914124596,484
marginal_4998,0.5309796286255665,661
marginal_5636,0.4883414356123978,661
marginal_5972,0.4791066997768231,661
marginal_4193,0.47906048916848537,661
marginal_8386,0.46969539030943336,661
marginal_9729,0.5340200295736911,739
marginal_9956,0.4953630710293204,739
marginal_3527,0.4861028266284089,739
marginal_7017,0.43604714605958267,739
marginal_5439,0.4243907951573229,739
marginal_4228,0.38602839613811635,744
marginal_4767,0.31062475431721026,744
marginal_252,0.2783567884917346,744
marginal_1801,0.25526815495099536,744
marginal_4029,0.22057601365776586,744
marginal_35,0.6094210948712175,871
marginal_252,0.5174930680878395,871
marginal_1791,0.5169336508599218,871
marginal_3310,0.45699664880629115,871
marginal_7287,0.43886914191353243,871
marginal_2818,0.37363471999334397,1042
marginal_5395,0.3001883570600668,1042
marginal_3893,0.2741407099498383,1042
marginal_4356,0.21359089171426435,1042
marginal_187,0.20880174613087754,1042
marginal_1801,0.40278520196029294,1086
marginal_3577,0.30769008417335475,1086
marginal_5317,0.2960796126253388,1086
marginal_6673,0.2857336498586576,1086
marginal_7287,0.2786404767404919,1086
marginal_8086,0.2792179016299911,1103
marginal_9956,0.27538304778366357,1103
marginal_5193,0.2460402686232777,1103
marginal_739,0.21018058895197403,1103
marginal_7989,0.20544522407486263,1103
marginal_7739,0.3326350492462091,1283
marginal_2378,0.3059726895547714,1283
marginal_222,0.2855474328171872,1283
marginal_5275,0.27925517713376913,1283
marginal_6412,0.22503005833672055,1283
marginal_2638,0.0,1403
marginal_2946,0.0,1403
marginal_2945,0.0,1403
marginal_2818,0.0,1403
marginal_2814,0.0,1403
marginal_1800,0.7702703558487974,1415
marginal_8890,0.34060084674807584,1415
marginal_1791,0.3252117554653262,1415
marginal_5785,0.2670411198600043,1415
marginal_94,0.2609670336687305,1415
marginal_6910,0.5948289086241902,1507
marginal_9295,0.5801129138355403,1507
marginal_3310,0.5419331346247377,1507
marginal_2034,0.5199143671052232,1507
marginal_94,0.4775874135480957,1507
marginal_1791,0.5590628652694573,1589
marginal_871,0.4381966849884072,1589
marginal_2129,0.42442857888757957,1589
marginal_8890,0.42323402068355864,1589
marginal_2034,0.39456270307237856,1589
marginal_3310,0.44932034157850215,1619
marginal_4732,0.31312759126330103,1619
marginal_1801,0.30569778083951443,1619
marginal_1507,0.2866189966057805,1619
marginal_2575,0.2787838953085907,1619
marginal_6673,0.5379915505719214,1697
marginal_1801,0.36299046724936596,1697
marginal_5317,0.3628686100369278,1697
marginal_4228,0.2782412967304738,1697
marginal_3778,0.23057054000578883,1697
marginal_4296,0.589956170950516,1714
marginal_7739,0.4867079253692931,1714
marginal_2980,0.4809090901807134,1714
marginal_2034,0.4414969317127188,1714
marginal_222,0.40069109425331073,1714
marginal_252,0.4145228940028338,1718
marginal_9729,0.41401789122798754,1718
marginal_871,0.40836001561526425,1718
marginal_3527,0.40835787184984196,1718
marginal_35,0.4033588942380568,1718
marginal_370,0.3791273954046424,1790
marginal_1589,0.37164171622091335,1790
marginal_871,0.37045386252266427,1790
marginal_1791,0.3494071421774989,1790
marginal_1801,0.30519390775945576,1790
marginal_8890,0.6470475613043725,1791
marginal_94,0.5773191577680993,1791
marginal_3310,0.5681404181414061,1791
marginal_1589,0.5590628652694573,1791
marginal_871,0.5169336508599218,1791
marginal_44,0.38813875567017575,1792
marginal_7016,0.3165890260080726,1792
marginal_4421,0.3009081562966507,1792
marginal_3918,0.27767524880873007,1792
marginal_2072,0.2649750507068636,1792
marginal_1415,0.7702703558487974,1800
marginal_8890,0.44858380836259715,1800
marginal_4998,0.42611166161996333,1800
marginal_661,0.408075671376391,1800
marginal_8829,0.39967664522120716,1800
marginal_94,0.532684748807796,1801
marginal_7989,0.4805846150784107,1801
marginal_2129,0.4662750190604834,1801
marginal_6910,0.463734500355243,1801
marginal_8890,0.4629194117631883,1801
marginal_7674,0.41075745117815543,2018
marginal_252,0.39972419979214074,2018
marginal_7017,0.3654626363351759,2018
marginal_739,0.36534402132468635,2018
marginal_7287,0.3627485923165688,2018
marginal_7739,0.5457513199083298,2034
marginal_6910,0.5279893956599563,2034
marginal_1507,0.5199143671052232,2034
marginal_4998,0.4557016214363318,2034
marginal_3367,0.4491018777250969,2034
