,r,id
marginal_5785,0.3522747543247362,35
marginal_871,0.3208257983808698,35
marginal_9729,0.3047372453557552,35
marginal_2470,0.30090889404989435,35
marginal_5317,0.2996677391961046,35
marginal_2946,0.7186210174692701,44
marginal_4193,0.5618833935987885,44
marginal_4373,0.38864829088461783,44
marginal_1790,0.32444520110722674,44
marginal_5972,0.2939876128660492,44
marginal_1718,0.4605104968241054,77
marginal_1507,0.2932943956421096,77
marginal_7741,0.2774812190876714,77
marginal_3036,0.2756715893925791,77
marginal_7674,0.27525469157431287,77
marginal_5785,0.49972381137233307,94
marginal_2034,0.49260104443391395,94
marginal_3310,0.4844432600403416,94
marginal_1086,0.4821685335650049,94
marginal_8890,0.47636079854563146,94
marginal_3723,0.4541208824492814,114
marginal_6910,0.32413337702373946,114
marginal_7674,0.28617273586004405,114
marginal_2094,0.2759076435521061,114
marginal_2129,0.2706853178017087,114
marginal_5275,0.30073504266249645,187
marginal_3778,0.25086014122563116,187
marginal_114,0.22880947965801485,187
marginal_9849,0.17853334367931747,187
marginal_7794,0.1727078615380679,187
marginal_2575,0.3591966679289778,222
marginal_6830,0.3525184459022942,222
marginal_3849,0.3184781929681453,222
marginal_4732,0.2802731321983016,222
marginal_1086,0.2641385028306079,222
marginal_2072,0.38123251412333276,252
marginal_5785,0.37355489716500195,252
marginal_6910,0.33825304684096297,252
marginal_1619,0.3160169747674231,252
marginal_2945,0.31415654598489123,252
marginal_7739,0.3052582646403883,370
marginal_5275,0.30281124605956106,370
marginal_4998,0.29700400482728373,370
marginal_9729,0.29699732583304034,370
marginal_9160,0.27628351600373713,370
marginal_7017,0.4631327346687387,483
marginal_2034,0.4347234996714358,483
marginal_3918,0.3618962902585927,483
marginal_2980,0.3602521577325276,483
marginal_8829,0.3463559590018403,483
marginal_94,0.41675457083606204,484
marginal_1086,0.36410972907003486,484
marginal_2094,0.3613347575821104,484
marginal_5131,0.3331316595067294,484
marginal_2034,0.3286193110566548,484
marginal_4767,0.467820568284419,661
marginal_5131,0.43098560101176875,661
marginal_8059,0.40022500591872545,661
marginal_1086,0.38924947520164555,661
marginal_2072,0.380679399862766,661
marginal_6910,0.5374737578290462,739
marginal_2034,0.5300012851990681,739
marginal_8890,0.4880794269152264,739
marginal_5814,0.45021078096053135,739
marginal_3310,0.44402638667865857,739
marginal_5131,0.34128399065753295,744
marginal_7017,0.34118750218522464,744
marginal_1103,0.33480014026886684,744
marginal_7674,0.3335816458069365,744
marginal_484,0.31438307014096833,744
marginal_6910,0.5933771047305784,871
marginal_2034,0.521273236540027,871
marginal_7017,0.5009209132111256,871
marginal_8890,0.49881848129166173,871
marginal_3310,0.4826668187402648,871
marginal_2946,0.31333185389372153,1042
marginal_4193,0.2476422655417793,1042
marginal_3577,0.23576010119072904,1042
marginal_5317,0.22861990217086897,1042
marginal_7682,0.1756068460147433,1042
marginal_2034,0.5416680586828442,1086
marginal_6910,0.48673206302058586,1086
marginal_94,0.4821685335650049,1086
marginal_3310,0.44178105069222945,1086
marginal_2470,0.4342815290679689,1086
marginal_5275,0.43647316943841336,1103
marginal_7900,0.39248795176501083,1103
marginal_7989,0.3646325798373163,1103
marginal_744,0.33480014026886684,1103
marginal_8084,0.27724951463117914,1103
marginal_4193,0.34643816796425536,1283
marginal_94,0.3129176597176387,1283
marginal_2946,0.31229410897096854,1283
marginal_7017,0.29787002366067417,1283
marginal_3036,0.2891540214551883,1283
marginal_3036,0.6623017488619797,1403
marginal_6673,0.4754596219742522,1403
marginal_6830,0.33005077620811774,1403
marginal_9160,0.3162411884835906,1403
marginal_1791,0.2646582804381713,1403
marginal_9600,0.3620917384919973,1415
marginal_4671,0.3560059222161539,1415
marginal_4228,0.3188203189403864,1415
marginal_8059,0.288512431959227,1415
marginal_6863,0.28784337389587195,1415
marginal_7287,0.3824572174492908,1507
marginal_7989,0.3082165648160866,1507
marginal_77,0.2932943956421096,1507
marginal_5785,0.27537292742898467,1507
marginal_9295,0.2715135692866501,1507
marginal_8890,0.5282034653206413,1589
marginal_7739,0.43618773819467066,1589
marginal_7017,0.4316654493758506,1589
marginal_5131,0.424294665895069,1589
marginal_2945,0.3951411347617767,1589
marginal_252,0.3160169747674231,1619
marginal_2965,0.26423827032648656,1619
marginal_35,0.23684469218673582,1619
marginal_5785,0.23296029212447159,1619
marginal_2129,0.22476081585558944,1619
marginal_9600,0.3520048330550649,1697
marginal_2755,0.269765801614068,1697
marginal_3849,0.2508457372767249,1697
marginal_1790,0.2492264631109892,1697
marginal_8467,0.2350527548554715,1697
marginal_4767,0.5022430944806058,1714
marginal_5131,0.44848925475867646,1714
marginal_1086,0.4341485803804814,1714
marginal_8890,0.4318856706426576,1714
marginal_871,0.42427824902705324,1714
marginal_77,0.4605104968241054,1718
marginal_9160,0.28656706746949767,1718
marginal_7989,0.2765015090119656,1718
marginal_8155,0.26774915505844743,1718
marginal_7674,0.26605567488836285,1718
marginal_3577,0.37514001295033517,1790
marginal_1589,0.35632995204382334,1790
marginal_8467,0.3544467089780243,1790
marginal_5193,0.3437981836612967,1790
marginal_2945,0.3437809736356589,1790
marginal_871,0.34363903867412804,1791
marginal_2094,0.32171258119780455,1791
marginal_4732,0.29151444420463357,1791
marginal_6830,0.2882580447527628,1791
marginal_5636,0.28395983810202663,1791
marginal_2946,0.15801530029169816,1792
marginal_4193,0.10426340339530131,1792
marginal_4421,0.09623513460686517,1792
marginal_7460,0.08332643437782669,1792
marginal_5484,0.0752632090110186,1792
marginal_9160,0.35341289302769996,1800
marginal_9729,0.3092032829894114,1800
marginal_2018,0.27574341312030837,1800
marginal_2945,0.2638417149748166,1800
marginal_8244,0.2624629150673641,1800
marginal_6910,0.3940627374255424,1801
marginal_3723,0.3793420457673973,1801
marginal_8890,0.36798663655847086,1801
marginal_3778,0.36445046880823967,1801
marginal_7017,0.3363428526897122,1801
marginal_9729,0.4682499965865895,2018
marginal_7017,0.3811563304795141,2018
marginal_8890,0.32323005328646987,2018
marginal_2034,0.3130989782593341,2018
marginal_871,0.29907012975283964,2018
marginal_7017,0.5827186333413188,2034
marginal_6910,0.5822440701853634,2034
marginal_3310,0.5773402782516444,2034
marginal_5785,0.5620948610724581,2034
marginal_5131,0.5524465708195936,2034
marginal_94,0.3890046733467459,2072
marginal_252,0.38123251412333276,2072
marginal_5131,0.3807858508043159,2072
marginal_661,0.380679399862766,2072
marginal_3527,0.37656715672102964,2072
marginal_5131,0.5126270929361236,2094
marginal_5785,0.49024147237283305,2094
marginal_8890,0.4751259600962428,2094
marginal_4998,0.42639957049580507,2094
marginal_7674,0.41993659070500144,2094
marginal_6910,0.5754592418305161,2129
marginal_5785,0.5281279582931573,2129
marginal_5814,0.5181796295135074,2129
marginal_5131,0.47545265466919123,2129
marginal_2034,0.4467355123400894,2129
marginal_9766,0.3587883663371141,2233
marginal_7016,0.2488316581661298,2233
marginal_8967,0.23580884100679045,2233
marginal_7919,0.23357940707823288,2233
marginal_2638,0.20367744814998082,2233
marginal_7794,0.42922514234825637,2378
marginal_7989,0.39769139498730693,2378
marginal_3635,0.3851888311000587,2378
marginal_8467,0.3692805789503209,2378
marginal_5814,0.36703101695836793,2378
marginal_2980,0.5912358324652225,2461
marginal_8829,0.46712871120426097,2461
marginal_3310,0.4632649962560738,2461
marginal_8084,0.4625028088733213,2461
marginal_5193,0.41345353608287466,2461
marginal_8059,0.5836183573348944,2470
marginal_8244,0.533213896485537,2470
marginal_6673,0.4627498224761322,2470
marginal_1086,0.4342815290679689,2470
marginal_4228,0.3683497550279757,2470
marginal_1714,0.4105798631654703,2575
marginal_3778,0.36931752420249636,2575
marginal_222,0.3591966679289778,2575
marginal_871,0.33289114852854246,2575
marginal_3849,0.30847242455044105,2575
