,r,id
marginal_3849,0.4004232268492133,35
marginal_4356,0.35035460836489535,35
marginal_3367,0.3338799787813105,35
marginal_9956,0.33364108833693257,35
marginal_7682,0.33165049015737574,35
marginal_2755,0.5279917387510471,44
marginal_8703,0.49973190998521666,44
marginal_6412,0.3576599894486158,44
marginal_1589,0.3546126050170722,44
marginal_4373,0.34859610422325005,44
marginal_6863,0.17348227487028609,77
marginal_252,0.16801085520719058,77
marginal_1697,0.11186424268690803,77
marginal_5484,0.11133985815007989,77
marginal_9052,0.10229782031041959,77
marginal_1086,0.5294557601482457,94
marginal_8890,0.444181160551979,94
marginal_871,0.44335515427696665,94
marginal_252,0.43184514080965797,94
marginal_8829,0.43013109019296425,94
marginal_484,0.27638893571042983,114
marginal_2980,0.26746951166747607,114
marginal_8155,0.2620016628042689,114
marginal_4193,0.2582163172787738,114
marginal_7989,0.20893460206352618,114
marginal_3036,0.47213234557102784,187
marginal_5439,0.3068197781972793,187
marginal_2945,0.2884654325273405,187
marginal_3918,0.27534550199867663,187
marginal_9631,0.2747351978591473,187
marginal_4228,0.1524549773269609,222
marginal_9474,0.1507457785734625,222
marginal_9766,0.14447534844851453,222
marginal_8386,0.12315834523993435,222
marginal_2980,0.10429268931157581,222
marginal_94,0.43184514080965797,252
marginal_2129,0.40663704291757163,252
marginal_2072,0.4044316428941051,252
marginal_4031,0.35421919414008424,252
marginal_6910,0.3476989741240888,252
marginal_6505,0.3641370027013931,370
marginal_7674,0.33074742897327924,370
marginal_1697,0.3128591171570252,370
marginal_1718,0.304828021933985,370
marginal_2018,0.28500526098057744,370
marginal_9729,0.6079472064155823,483
marginal_1718,0.530424650176772,483
marginal_871,0.5250731429108182,483
marginal_3367,0.5217956353906253,483
marginal_2129,0.5128824888136522,483
marginal_2072,0.4372903716484844,484
marginal_871,0.3907023580638227,484
marginal_483,0.35243417972699836,484
marginal_1086,0.3385403580674717,484
marginal_4031,0.33340395826627045,484
marginal_4998,0.41745876306785695,661
marginal_8890,0.4153822033424957,661
marginal_739,0.39669462088420016,661
marginal_1086,0.39226136527834904,661
marginal_3367,0.3886422248654821,661
marginal_1086,0.4873553299961926,739
marginal_4998,0.44770099820963366,739
marginal_1507,0.4405259247482094,739
marginal_3893,0.4374838056477545,739
marginal_9729,0.425370419071017,739
marginal_5317,0.2299522119554936,744
marginal_3036,0.22296359674520247,744
marginal_2945,0.20974119786151438,744
marginal_4031,0.20110383802725745,744
marginal_7016,0.2000564655300871,744
marginal_3367,0.644931825792864,871
marginal_1086,0.6406443121095977,871
marginal_8890,0.5939488620192531,871
marginal_5275,0.5532199560280693,871
marginal_1507,0.5479503853067181,871
marginal_3039,0.16133992436795483,1042
marginal_4193,0.15688645607038726,1042
marginal_6505,0.15077258348418038,1042
marginal_1103,0.13552061264211662,1042
marginal_8967,0.1354666527356005,1042
marginal_871,0.6406443121095977,1086
marginal_7017,0.6149936163105263,1086
marginal_8890,0.6078070340191614,1086
marginal_3367,0.5897269174832274,1086
marginal_2034,0.5524184461126345,1086
marginal_7682,0.40084865804920106,1103
marginal_3036,0.34739045359659143,1103
marginal_4228,0.3292961643669066,1103
marginal_8084,0.3080345651942063,1103
marginal_9956,0.2761674620209536,1103
marginal_7682,0.410709028041386,1283
