,r,id
marginal_2470,0.3244980497383693,35
marginal_7674,0.30161714854402016,35
marginal_8244,0.29982449126773125,35
marginal_8890,0.29089187038131303,35
marginal_5810,0.2901943344098235,35
marginal_9956,0.41488381055500917,44
marginal_9729,0.3155356452928864,44
marginal_2461,0.29832574818736896,44
marginal_8829,0.2727751526183651,44
marginal_6412,0.2662021957792935,44
marginal_5892,0.32355974644414687,77
marginal_7989,0.3077371504443277,77
marginal_1790,0.23867033561188877,77
marginal_4767,0.21485852348998108,77
marginal_4998,0.20518674508377766,77
marginal_483,0.5816307245183537,94
marginal_2094,0.5747961641483155,94
marginal_4998,0.5402947273127517,94
marginal_1507,0.5362016909629393,94
marginal_7429,0.5200197158802472,94
marginal_739,0.37831623903777517,114
marginal_4767,0.37739419998080387,114
marginal_4421,0.24165189971492212,114
marginal_5814,0.23792151006624904,114
marginal_2129,0.21092871372859331,114
marginal_9729,0.2184901370985669,187
marginal_9849,0.21776241831702342,187
marginal_1801,0.2177017514523257,187
marginal_77,0.1928399431449969,187
marginal_661,0.17576605428361,187
marginal_7460,0.2595639495678894,222
marginal_77,0.1744349587693851,222
marginal_1792,0.14383300182838898,222
marginal_7919,0.12172315753475811,222
marginal_8467,0.08208652095540632,222
marginal_1718,0.4619485245392684,252
marginal_7429,0.4396760984529764,252
marginal_3527,0.40028544033740465,252
marginal_483,0.393746530051597,252
marginal_2094,0.3826663792143183,252
marginal_5131,0.3912960727155353,370
marginal_8890,0.35982991525161334,370
marginal_1086,0.35375206824883937,370
marginal_4031,0.3505261600975977,370
marginal_3527,0.3420350462944016,370
marginal_1714,0.5989823896616376,483
marginal_1507,0.5945250934249888,483
marginal_94,0.5816307245183537,483
marginal_2094,0.5651750539362866,483
marginal_3310,0.5615100941540354,483
marginal_483,0.4342639792648566,484
marginal_4373,0.4129184376132994,484
marginal_2094,0.36706472215196534,484
marginal_3310,0.35460351174705756,484
marginal_5439,0.33254976900104,484
marginal_8244,0.41210268091936236,661
marginal_1415,0.3701195584849368,661
marginal_2755,0.3651928566143245,661
marginal_6673,0.3609170126011179,661
marginal_3310,0.3531361375352272,661
marginal_3367,0.5002175487273863,739
marginal_3527,0.43603033555483095,739
marginal_2034,0.41359065818793034,739
marginal_1507,0.4086266721676821,739
marginal_7017,0.396239606303947,739
marginal_5131,0.5408248008498404,744
marginal_3367,0.4890275813886447,744
marginal_1714,0.462821709807762,744
marginal_7017,0.4558822770438023,744
marginal_2378,0.4499663100735425,744
marginal_7016,0.5038341399681265,871
marginal_7017,0.5002479356917127,871
marginal_3310,0.46018719718058904,871
marginal_2094,0.4535003678162074,871
marginal_1714,0.4376333690274834,871
marginal_5317,0.36681663079983445,1042
marginal_9600,0.2873863379628127,1042
marginal_9160,0.2444169201269457,1042
marginal_2946,0.2297028232436191,1042
marginal_8059,0.22848626504873715,1042
marginal_1801,0.4889148523042917,1086
marginal_8890,0.48382553633905107,1086
marginal_3918,0.4273943810425825,1086
marginal_9729,0.42640554198251374,1086
marginal_2094,0.4241962944423559,1086
marginal_4352,0.3112130119652703,1103
marginal_8059,0.287701586061379,1103
marginal_871,0.28501298535330877,1103
marginal_8467,0.24036864157612675,1103
marginal_7460,0.23569367249525855,1103
marginal_8386,0.4554847601763037,1283
marginal_1791,0.4242020910353213,1283
marginal_1589,0.4048290720558027,1283
marginal_871,0.39503120118312984,1283
marginal_2094,0.3923257321057201,1283
marginal_7739,0.4269834093758305,1403
marginal_6673,0.35424011724997573,1403
marginal_8244,0.3234825139147287,1403
marginal_2378,0.30117506081193884,1403
marginal_2470,0.2712361785573083,1403
marginal_9600,0.38152995041084836,1415
marginal_661,0.3701195584849368,1415
marginal_7016,0.3383064372221732,1415
marginal_2755,0.33742212497932883,1415
marginal_871,0.33697476295652357,1415
marginal_1714,0.6900696274746948,1507
marginal_3310,0.6864968656793417,1507
marginal_2094,0.6586399450015927,1507
marginal_3527,0.6572771346178814,1507
marginal_7017,0.6486505042737344,1507
marginal_1714,0.6304073526537978,1589
marginal_3310,0.5588382793203044,1589
marginal_3527,0.5559831010518635,1589
marginal_3367,0.5524291202185532,1589
marginal_1507,0.5511953507990569,1589
marginal_7739,0.44684393979864334,1619
marginal_3036,0.39533088562150703,1619
marginal_3893,0.3269782335683158,1619
marginal_5275,0.3101449598059648,1619
marginal_3310,0.30218175600717145,1619
marginal_6505,0.21284977912445782,1697
marginal_2755,0.2092281967051946,1697
marginal_1415,0.19436012768417876,1697
marginal_8467,0.18634446639779173,1697
marginal_1103,0.17242288734563596,1697
marginal_3310,0.7114925438880978,1714
marginal_1507,0.6900696274746948,1714
marginal_1589,0.6304073526537978,1714
marginal_7017,0.6254590020750711,1714
marginal_6910,0.6159145407158382,1714
marginal_4998,0.46371240562575733,1718
marginal_252,0.4619485245392684,1718
marginal_1086,0.4055501927333203,1718
marginal_5814,0.3969128497034111,1718
marginal_8890,0.38801969137188363,1718
marginal_6910,0.5223495892558665,1790
marginal_3310,0.47243744657501296,1790
marginal_2094,0.43253763997106126,1790
marginal_483,0.42620194684540524,1790
marginal_1589,0.41423545792038763,1790
marginal_3310,0.5059729767851363,1791
marginal_3849,0.4715752783817554,1791
marginal_1589,0.4318639508654275,1791
marginal_1283,0.4242020910353213,1791
marginal_1714,0.41230748227592395,1791
marginal_5972,0.26950433811896113,1792
marginal_4421,0.2530033407970173,1792
marginal_7965,0.2436042351017783,1792
marginal_5658,0.24225814693607103,1792
marginal_3577,0.22266534864455773,1792
marginal_8155,0.282942736333736,1800
marginal_3577,0.27993099530785887,1800
marginal_5317,0.27692726828692044,1800
marginal_35,0.20887842691516534,1800
marginal_2461,0.20172689238504918,1800
marginal_8890,0.5685634598305842,1801
marginal_4998,0.5182489542724175,1801
marginal_94,0.5086523552255441,1801
marginal_2094,0.504384421706213,1801
marginal_3367,0.4984270288192592,1801
marginal_1415,0.3282693690096245,2018
marginal_9121,0.32255726619185715,2018
marginal_2094,0.26170067204463143,2018
marginal_8386,0.257705580871638,2018
marginal_5636,0.24871097392371536,2018
marginal_3367,0.6029496540335433,2034
marginal_6910,0.521451256048254,2034
marginal_7017,0.5185235185507132,2034
marginal_3310,0.5122213361118692,2034
marginal_1507,0.5097060338200199,2034
marginal_5810,0.24600497009065408,2072
marginal_3918,0.23648107708056554,2072
marginal_7794,0.2357745370668696,2072
marginal_2638,0.23476163086908297,2072
marginal_1718,0.23377062489733041,2072
marginal_1507,0.6586399450015927,2094
marginal_7017,0.6251659503595509,2094
marginal_3367,0.5779953757087073,2094
marginal_3310,0.5752258491077611,2094
marginal_94,0.5747961641483155,2094
marginal_3527,0.5283732358675277,2129
marginal_1507,0.49809776771484016,2129
marginal_2094,0.4796886892345417,2129
marginal_3367,0.471661002136891,2129
marginal_94,0.4495368215375286,2129
marginal_5658,0.4765649140445933,2233
marginal_3039,0.2603743721415188,2233
marginal_1791,0.2250976219733295,2233
marginal_2638,0.20610751585391185,2233
marginal_5395,0.1954887441429178,2233
marginal_7017,0.46383313704358603,2378
marginal_744,0.4499663100735425,2378
marginal_8244,0.4454315983754509,2378
marginal_1589,0.421335186304062,2378
marginal_1714,0.417199936735826,2378
marginal_3310,0.5226308412380865,2461
marginal_7017,0.5096987494702772,2461
marginal_2094,0.5050016200229133,2461
marginal_3367,0.5015022270132149,2461
marginal_1714,0.4546691509666041,2461
marginal_7566,0.42739136722914983,2470
marginal_9600,0.39430038766142367,2470
marginal_3310,0.35001222889201744,2470
marginal_35,0.3244980497383693,2470
marginal_1714,0.3171205013758738,2470
marginal_2755,0.3439369174823577,2575
marginal_7287,0.30526015686038155,2575
marginal_5972,0.2974443887631772,2575
marginal_871,0.2922560657265357,2575
marginal_1791,0.2461866397638263,2575
marginal_4421,0.4068268905050604,2638
marginal_7965,0.3327373977692326,2638
marginal_8829,0.3193205674049111,2638
marginal_739,0.30926018093415664,2638
marginal_252,0.30684984447883096,2638
marginal_2638,0.0,2645
marginal_2946,0.0,2645
marginal_2945,0.0,2645
marginal_2818,0.0,2645
marginal_2814,0.0,2645
marginal_8703,0.46263388389142124,2755
marginal_9631,0.3715683702624479,2755
marginal_661,0.3651928566143245,2755
marginal_7016,0.35495681167422194,2755
marginal_2575,0.3439369174823577,2755
marginal_2638,0.0,2814
marginal_2946,0.0,2814
marginal_2945,0.0,2814
marginal_2818,0.0,2814
marginal_2814,0.0,2814
marginal_4228,0.28857775567178334,2818
marginal_1283,0.26215737923713933,2818
marginal_5636,0.257069701342288,2818
marginal_7741,0.2521409785280886,2818
marginal_2094,0.22472779825837974,2818
marginal_3310,0.4539307629401987,2945
marginal_1507,0.4036340067257211,2945
marginal_6910,0.40293452503541155,2945
marginal_2129,0.3924335457602446,2945
marginal_3367,0.38407685735835145,2945
marginal_9600,0.4951001615398849,2946
marginal_871,0.33270130295832645,2946
marginal_4767,0.309821228470304,2946
marginal_484,0.2761425533553342,2946
marginal_5193,0.24425214201671883,2946
marginal_9729,0.3336679882367537,2965
marginal_5545,0.31621757773823317,2965
marginal_3893,0.31488849649341644,2965
marginal_5636,0.2970597329532652,2965
marginal_744,0.2875934329297117,2965
marginal_2378,0.22165055469112818,2980
marginal_1714,0.21875923590526938,2980
marginal_7016,0.21188225816079503,2980
marginal_6578,0.1989112713859459,2980
marginal_2945,0.1983242219117736,2980
marginal_5275,0.540075329665022,3036
marginal_7566,0.505540485607034,3036
marginal_8386,0.42636660612455496,3036
marginal_1619,0.39533088562150703,3036
marginal_9600,0.3751617672612657,3036
marginal_9474,0.35723559370473856,3039
marginal_5658,0.33508820622160795,3039
marginal_2233,0.2603743721415188,3039
marginal_3527,0.2571754489720149,3039
marginal_8084,0.22560945646620253,3039
marginal_1714,0.7114925438880978,3310
marginal_1507,0.6864968656793417,3310
marginal_7017,0.6308353509318111,3310
marginal_3367,0.6085130399393812,3310
marginal_6910,0.5808977091081656,3310
marginal_1507,0.6125023787910683,3367
marginal_3310,0.6085130399393812,3367
marginal_2034,0.6029496540335433,3367
marginal_7017,0.5894664490435632,3367
marginal_1714,0.5832988358423853,3367
marginal_1507,0.6572771346178814,3527
marginal_3367,0.570374078069801,3527
marginal_1714,0.5582956915670938,3527
marginal_1589,0.5559831010518635,3527
marginal_2129,0.5283732358675277,3527
marginal_3527,0.38590995663682603,3577
marginal_9295,0.3847548629481775,3577
marginal_8890,0.37837136605208893,3577
marginal_5814,0.3601112050098296,3577
marginal_94,0.3520053784977674,3577
marginal_3310,0.40138764821049217,3635
marginal_5275,0.3988770049626924,3635
marginal_4356,0.3640813820971166,3635
marginal_1790,0.35018760162248397,3635
marginal_483,0.34143108173872017,3635
marginal_3367,0.3432434024361734,3723
marginal_9729,0.3240539385393949,3723
marginal_1801,0.2970703437099387,3723
marginal_1086,0.2847042267062411,3723
marginal_7965,0.2829568098903226,3723
marginal_1086,0.376589488415313,3778
marginal_3849,0.35994181561382543,3778
marginal_661,0.33836538213295203,3778
marginal_6830,0.326395598365419,3778
marginal_9600,0.30903959941261666,3778
marginal_6673,0.5075461113420433,3849
marginal_1791,0.4715752783817554,3849
marginal_5785,0.47116329233470206,3849
marginal_3310,0.4458244969987076,3849
marginal_1589,0.4214681576157332,3849
marginal_9729,0.43299492215929875,3893
marginal_1801,0.41048235921856285,3893
marginal_1086,0.3857226059772812,3893
marginal_7739,0.3820969437547617,3893
marginal_7017,0.3680851347692326,3893
marginal_2094,0.5249227106773745,3918
marginal_6910,0.4814361849064249,3918
marginal_3310,0.4433191159743553,3918
marginal_1714,0.43544446925765073,3918
marginal_1801,0.4350230143914597,3918
marginal_3527,0.38923020526157676,4029
marginal_3310,0.3336906449642329,4029
marginal_1714,0.32765398931220097,4029
marginal_8829,0.32264266132618885,4029
marginal_6910,0.3091187585748244,4029
marginal_6910,0.5247977098338891,4031
marginal_94,0.41914665936110745,4031
marginal_3367,0.4115178934374211,4031
marginal_7429,0.40553267282012895,4031
marginal_5814,0.3946218672346063,4031
marginal_8703,0.3146617089197778,4193
marginal_5484,0.2827149678161882,4193
marginal_661,0.26365385864172747,4193
marginal_8059,0.26208306863259734,4193
marginal_5636,0.22436634746745981,4193
marginal_9474,0.4106041880463542,4228
marginal_9849,0.36624244802727823,4228
marginal_1589,0.3220079064926726,4228
marginal_1790,0.3219054794564455,4228
marginal_3918,0.29629746843884586,4228
marginal_252,0.33684988128687204,4296
marginal_2638,0.3008534527831331,4296
marginal_7739,0.2952793746903866,4296
marginal_7965,0.2913377034158512,4296
marginal_6412,0.2885554567831946,4296
marginal_1103,0.3112130119652703,4352
marginal_4421,0.27444736637189504,4352
marginal_7460,0.2188219183599844,4352
marginal_8467,0.18486319163397763,4352
marginal_9295,0.16147077714797586,4352
marginal_5275,0.6073080806013801,4356
marginal_5814,0.4207713412688217,4356
marginal_8084,0.40002715678081063,4356
marginal_744,0.39758163959556914,4356
marginal_5785,0.39210173495763184,4356
marginal_484,0.4129184376132994,4373
marginal_3310,0.3995812698411453,4373
marginal_8244,0.3856957359127799,4373
marginal_9160,0.3809102901235325,4373
marginal_9600,0.36281084395288843,4373
marginal_2638,0.4068268905050604,4421
marginal_7965,0.40516811554527316,4421
marginal_8829,0.3477973034542292,4421
marginal_4029,0.28926230011567966,4421
marginal_5972,0.2807602103960084,4421
marginal_2638,0.0,4671
marginal_2946,0.0,4671
marginal_2945,0.0,4671
marginal_2818,0.0,4671
marginal_2814,0.0,4671
marginal_7682,0.2833117224220851,4732
marginal_9631,0.27088896852373245,4732
marginal_252,0.2588448796135847,4732
marginal_5814,0.24710507729923267,4732
marginal_8703,0.20946630217209458,4732
marginal_114,0.37739419998080387,4767
marginal_3367,0.3517982702845882,4767
marginal_4998,0.3499961436441575,4767
marginal_5193,0.34430530584352537,4767
marginal_3893,0.3353282145574067,4767
marginal_3310,0.5487185073705981,4998
marginal_2094,0.5410189603659472,4998
marginal_94,0.5402947273127517,4998
marginal_483,0.5391863725330406,4998
marginal_3367,0.5391551045725843,4998
marginal_744,0.5408248008498404,5131
marginal_4998,0.44598581099139895,5131
marginal_8890,0.43908833239890643,5131
marginal_1714,0.4296056261357894,5131
