,r,id
marginal_2129,0.5055664843041497,35
marginal_4998,0.4986464632533936,35
marginal_7794,0.4375573671056345,35
marginal_3310,0.4295873692628659,35
marginal_9121,0.410370552231513,35
marginal_484,0.2877001805280444,44
marginal_7016,0.2459554837069547,44
marginal_9631,0.23998285722906393,44
marginal_7741,0.2381790175766242,44
marginal_5275,0.2175625771944574,44
marginal_484,0.24451984901957896,77
marginal_2034,0.20194618550073407,77
marginal_5972,0.17756711075120646,77
marginal_2945,0.17594568607854397,77
marginal_1792,0.1436930499339517,77
marginal_871,0.5167772301247149,94
marginal_4998,0.506179561923463,94
marginal_8890,0.49582354527020456,94
marginal_5439,0.47627944341772765,94
marginal_9729,0.4674965901307427,94
marginal_9295,0.4227706261363763,114
marginal_9160,0.4177074213916706,114
marginal_2072,0.41517170965082345,114
marginal_3527,0.41189896516991337,114
marginal_4031,0.405750134837133,114
marginal_8086,0.14681159903809635,187
marginal_3036,0.14539166769964443,187
marginal_4296,0.11118185361162639,187
marginal_1415,0.09124228895233631,187
marginal_5892,0.08866766726353519,187
marginal_1792,0.23358198285162948,222
marginal_2378,0.1806302431010936,222
marginal_5658,0.16475206436899342,222
marginal_661,0.12338250560507277,222
marginal_3310,0.1009001024885123,222
marginal_1718,0.6008780937700874,252
marginal_8829,0.5735227340667318,252
marginal_483,0.5366484722707774,252
marginal_871,0.5342536225356299,252
marginal_3527,0.5323963467628291,252
marginal_1415,0.3946508710929178,370
marginal_1589,0.37426517727143177,370
marginal_8059,0.33595506781163376,370
marginal_7566,0.3214359810687443,370
marginal_8890,0.30996322389079733,370
marginal_3367,0.6573269434082071,483
marginal_4998,0.6205102216043233,483
marginal_8829,0.5740476478042875,483
marginal_1790,0.5512223158235756,483
marginal_871,0.5485126185089781,483
marginal_9600,0.3526877745849509,484
marginal_3036,0.32934920328396733,484
marginal_2755,0.310657610244439,484
marginal_2980,0.3009198138725716,484
marginal_44,0.2877001805280444,484
marginal_2018,0.4455910700975532,661
marginal_1086,0.4109844242283317,661
marginal_7739,0.38163210720165647,661
marginal_9631,0.36566261863535954,661
marginal_7794,0.35142997978842955,661
marginal_4998,0.7032829423824593,739
marginal_3367,0.6831798262157364,739
marginal_871,0.6567928356691662,739
marginal_8829,0.6474259970955707,739
marginal_2072,0.6287483189735331,739
marginal_1283,0.4313636682038236,744
marginal_2965,0.38614633153718514,744
marginal_7429,0.3819201226292987,744
marginal_94,0.3368289101991691,744
marginal_2094,0.30297024274287887,744
marginal_1507,0.7758940153589656,871
marginal_8890,0.7597081645648187,871
marginal_3527,0.7458787646291949,871
marginal_8829,0.7336108946415757,871
marginal_6910,0.6941117924068374,871
marginal_5810,0.1581835062583669,1042
marginal_2818,0.1452636869984271,1042
marginal_6505,0.14274470452809576,1042
marginal_5636,0.1304691915934275,1042
marginal_77,0.10203915623818531,1042
marginal_9474,0.4865039691839218,1086
marginal_661,0.4109844242283317,1086
marginal_8467,0.3806454499474551,1086
marginal_2129,0.2925514920215852,1086
marginal_5814,0.2843555059758129,1086
marginal_6673,0.45069488482539477,1103
marginal_5275,0.38241536450640307,1103
marginal_5193,0.3390383161747541,1103
marginal_2378,0.32721915836993193,1103
marginal_2094,0.28060631872938635,1103
marginal_2072,0.5613670580125185,1283
marginal_7429,0.49950846839090507,1283
marginal_8829,0.4993332998455326,1283
marginal_2094,0.494300809901667,1283
marginal_9729,0.4937381104886667,1283
marginal_2946,0.948426337620561,1403
marginal_8703,0.8478771005514564,1403
marginal_9600,0.5900881240505975,1403
marginal_4373,0.510969889137349,1403
marginal_7739,0.3309484581690167,1403
marginal_8059,0.7069467138484752,1415
marginal_370,0.3946508710929178,1415
marginal_9631,0.39177009762705023,1415
marginal_2818,0.29958233301567055,1415
marginal_5275,0.2811179090585303,1415
marginal_871,0.7758940153589656,1507
marginal_8890,0.744991015825646,1507
marginal_4998,0.71023945520926,1507
marginal_3527,0.7065826817671891,1507
marginal_8829,0.7041487000734953,1507
marginal_1507,0.6085158504596588,1589
marginal_871,0.5703986326836803,1589
marginal_4998,0.5639731824509543,1589
marginal_2129,0.5567376317174271,1589
marginal_5814,0.5206333930973706,1589
marginal_1507,0.43506843677884227,1619
marginal_4421,0.430619457888978,1619
marginal_1790,0.422648407672045,1619
marginal_483,0.4065470971411056,1619
marginal_9631,0.39887734327758534,1619
marginal_9849,0.40035318890886307,1697
marginal_4193,0.34324528661822495,1697
marginal_7989,0.3377203839571319,1697
marginal_5636,0.32128149989637195,1697
marginal_7919,0.24386101528796908,1697
marginal_2072,0.6248848396462159,1714
marginal_739,0.6226243090472983,1714
marginal_8829,0.6070152234763054,1714
marginal_6910,0.6065543368460021,1714
marginal_8890,0.5952495289134495,1714
marginal_252,0.6008780937700874,1718
marginal_3367,0.583581311063365,1718
marginal_8829,0.5799295488494592,1718
marginal_2072,0.5727104800452868,1718
marginal_871,0.5536128415486927,1718
marginal_4998,0.7311111302892789,1790
marginal_6412,0.6261691939643056,1790
marginal_1507,0.6149335943948745,1790
marginal_3527,0.6141930342509435,1790
marginal_871,0.6069126392694931,1790
marginal_2755,0.6688941654416788,1791
marginal_4228,0.5246377743475321,1791
marginal_4352,0.49556723916756246,1791
marginal_4767,0.477304345015575,1791
marginal_7674,0.4333423558126386,1791
marginal_3039,0.3720614318364531,1792
marginal_2233,0.31423306647246857,1792
marginal_222,0.23358198285162948,1792
marginal_484,0.21848186806134842,1792
marginal_4421,0.18878755129252375,1792
marginal_2945,0.4747224678718099,1800
marginal_3367,0.4652289145387311,1800
marginal_2094,0.4422265888159006,1800
marginal_4998,0.43395900209660554,1800
marginal_3778,0.4333126650024515,1800
marginal_6412,0.48303437354284356,1801
marginal_5395,0.4611563964163406,1801
marginal_8890,0.3772574903465623,1801
marginal_1718,0.3743197325126916,1801
marginal_5439,0.37184310707311347,1801
marginal_1790,0.5799884168087834,2018
marginal_483,0.5281539999441566,2018
marginal_3527,0.48679693356157555,2018
marginal_5131,0.4709175195206271,2018
marginal_4998,0.45504289771319595,2018
