,r,id
marginal_8890,0.5595183565850762,35
marginal_94,0.49618228398703806,35
marginal_9631,0.4441862816546488,35
marginal_5810,0.4366198113659119,35
marginal_5131,0.39653153085849885,35
marginal_2575,0.475570361249924,44
marginal_7989,0.44935634325547597,44
marginal_8155,0.4233760668488172,44
marginal_1589,0.41860510359911723,44
marginal_8086,0.4125929065259137,44
marginal_1800,0.37233496769586566,77
marginal_744,0.35751305832184344,77
marginal_7566,0.3464505472533967,77
marginal_3635,0.28930820715911376,77
marginal_4296,0.287353703489008,77
marginal_1801,0.5764403066886851,94
marginal_8890,0.5732033283166302,94
marginal_3310,0.5249075778275842,94
marginal_252,0.5151452004412165,94
marginal_5810,0.5027240916730694,94
marginal_4228,0.4039900859409166,114
marginal_9121,0.2723541719886426,114
marginal_8155,0.2664523465037316,114
marginal_7794,0.26157555478010147,114
marginal_1507,0.24873160603592157,114
marginal_7741,0.29818506427106123,187
marginal_661,0.26276114936042055,187
marginal_4732,0.2616070906059383,187
marginal_1718,0.24998038633747183,187
marginal_9631,0.2320487474171413,187
marginal_7460,0.4034003492043118,222
marginal_370,0.2994388487527628,222
marginal_8084,0.2910384735869069,222
marginal_1283,0.20542111753357253,222
marginal_4193,0.18336246535890938,222
marginal_94,0.5151452004412165,252
marginal_4356,0.4099440764820305,252
marginal_5810,0.398584037895727,252
marginal_35,0.3925914510048633,252
marginal_1718,0.38046059804862536,252
marginal_7460,0.3309825208872903,370
marginal_222,0.2994388487527628,370
marginal_5658,0.26787786693844623,370
marginal_9278,0.23747124018568389,370
marginal_8084,0.17764516805252856,370
marginal_5131,0.39203825566212996,483
marginal_1718,0.3909545476192718,483
marginal_7900,0.3772817985363804,483
marginal_871,0.36004749599733393,483
marginal_8890,0.3438855742027958,483
marginal_3778,0.48505659114400673,484
marginal_1800,0.3841930732205357,484
marginal_2378,0.37479603041923504,484
marginal_4998,0.3683368786129869,484
marginal_6910,0.35293041931113694,484
marginal_9631,0.32020849885046243,661
marginal_1714,0.2909921237256654,661
marginal_6910,0.2883237334315058,661
marginal_6830,0.2772736071713045,661
marginal_4732,0.26907411797764297,661
marginal_3635,0.5783458412379541,739
marginal_5810,0.42273268804844144,739
marginal_5131,0.42160592749854686,739
marginal_1718,0.42094078276724695,739
marginal_94,0.3876841227960373,739
marginal_8386,0.4452266210717335,744
marginal_77,0.35751305832184344,744
marginal_5972,0.3570483484020632,744
marginal_4356,0.31903949166455475,744
marginal_7900,0.29619593700604463,744
marginal_7287,0.586429065151339,871
marginal_5131,0.49390659269531717,871
marginal_8890,0.46744095696822036,871
marginal_94,0.43116314197198813,871
marginal_4998,0.4063339270323247,871
marginal_5785,0.1949809598201326,1042
marginal_7741,0.14067484276767322,1042
marginal_4421,0.12984506115013403,1042
marginal_5484,0.11431554148268226,1042
marginal_4228,0.10571428663109728,1042
marginal_7794,0.4788586960222817,1086
marginal_94,0.4397438006732062,1086
marginal_5131,0.4320130718356243,1086
marginal_8890,0.420168172729684,1086
marginal_2034,0.394741987764684,1086
marginal_6578,0.2595361539854488,1103
marginal_8086,0.2326971275711488,1103
marginal_2980,0.1670168491593521,1103
marginal_4029,0.1581377288203298,1103
marginal_8967,0.14551136869468176,1103
marginal_7460,0.2448822041128695,1283
marginal_222,0.20542111753357253,1283
marginal_1697,0.16334247952442799,1283
marginal_1790,0.16294201643608514,1283
marginal_8967,0.1619902010359817,1283
marginal_2638,0.0,1403
marginal_2946,0.0,1403
marginal_2945,0.0,1403
marginal_2818,0.0,1403
marginal_2814,0.0,1403
marginal_1791,0.43699217564956355,1415
marginal_7566,0.4000475622793885,1415
marginal_2461,0.3239930379131203,1415
marginal_5810,0.2939785655783025,1415
marginal_3527,0.2529278254254063,1415
marginal_1718,0.4041822327880567,1507
marginal_3918,0.39394557779069134,1507
marginal_8890,0.36572408366633447,1507
marginal_5131,0.3485088599281047,1507
marginal_4998,0.32835486654122104,1507
marginal_1718,0.42201267984491625,1589
marginal_44,0.41860510359911723,1589
marginal_2094,0.406762808310659,1589
marginal_8155,0.4022666321342257,1589
marginal_2575,0.3866380514124988,1589
marginal_3893,0.5225330187414582,1619
marginal_9052,0.4747974664560269,1619
marginal_1718,0.4144411079087865,1619
